id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Norm. citations>	weight<Citations>	score<Pub. year>	score<Norm. citations>	score<Citations>
15	jerry l. deffenbacher (1999)	"<table><tr><td>Authors:</td><td>jerry l. deffenbacher</td></tr><tr><td>Title:</td><td>cognitive-behavioral conceptualization and treatment of anger</td></tr><tr><td>Source:</td><td>journal of clinical psychology, 55(3), 295-309</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/(sici)1097-4679(199903)55:3<295::aid-jclp3>3.0.co;2-a"	-0.6002	0.2056	1	119	122	1.5659	99	1999	1.5659	99
17	james a. blumenthal (2021)	"<table><tr><td>Authors:</td><td>james a. blumenthal; patrick j. smith; wei jiang; alan l. hinderliter; lana l. watkins; benson m. hoffman; william e. kraus; lawrence liao; jonathan davidson; andrew sherwood</td></tr><tr><td>Title:</td><td>effect of exercise, escitalopram, or placebo on anxiety in patients with coronary heart disease</td></tr><tr><td>Source:</td><td>jama psychiatry, 78(11), 1270-1270</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/https://doi.org/10.1001/jamapsychiatry.2021.2236	0.6496	-0.4284	8	337	350	2.7812	24	2021	2.7812	24
18	virginia v. w. mcintosh (2000)	"<table><tr><td>Authors:</td><td>virginia v. w. mcintosh; cynthia m. bulik; janice m. mckenzie; suzanne e. luty; jennifer jordan</td></tr><tr><td>Title:</td><td>interpersonal psychotherapy for anorexia nervosa</td></tr><tr><td>Source:</td><td>the international journal of eating disorders/international journal of eating disorders, 27(2), 125-139</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/(sici)1098-108x(200003)27:2<125::aid-eat1>3.0.co;2-4"	-0.8963	0.1295	1	208	265	0.5695	85	2000	0.5695	85
19	james l. abelson (2005)	"<table><tr><td>Authors:</td><td>james l. abelson; israel liberzon; elizabeth a. young; seema khan</td></tr><tr><td>Title:</td><td>cognitive modulation of the endocrine stress response to a pharmacological challenge in normal and panic disorder subjects</td></tr><tr><td>Source:</td><td>archives of general psychiatry, 62(6), 668-668</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	https://doi.org/https://doi.org/10.1001/archpsyc.62.6.668	0.5158	0.0419	1	60	72	1.0698	74	2005	1.0698	74
21	kathleen m. carroll (1997)	"<table><tr><td>Authors:</td><td>kathleen m. carroll</td></tr><tr><td>Title:</td><td>manual-guided psychosocial treatment</td></tr><tr><td>Source:</td><td>archives of general psychiatry, 54(10), 923-923</td></tr><tr><td>Year:</td><td>1997</td></tr></table>"	https://doi.org/https://doi.org/10.1001/archpsyc.1997.01830220041007	-0.5083	0.1229	1	212	262	0.3877	70	1997	0.3877	70
22	fred h. frankel (1974)	"<table><tr><td>Authors:</td><td>fred h. frankel</td></tr><tr><td>Title:</td><td>trance capacity and the genesis of phobic behavior</td></tr><tr><td>Source:</td><td>archives of general psychiatry, 31(2), 261-261</td></tr><tr><td>Year:</td><td>1974</td></tr></table>"	https://doi.org/https://doi.org/10.1001/archpsyc.1974.01760140103019	-0.6217	0.4468	1	37	38	0.908	35	1974	0.908	35
23	philippe r. goldin (2021)	"<table><tr><td>Authors:</td><td>philippe r. goldin; matthew d. thurston; santiago allende; craig a. moodie; matthew l. dixon; richard g. heimberg; james j. gross</td></tr><tr><td>Title:</td><td>evaluation of cognitive behavioral therapy vs mindfulness meditation in brain changes during reappraisal and acceptance among patients with social anxiety disorder</td></tr><tr><td>Source:</td><td>jama psychiatry, 78(10), 1134-1134</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/https://doi.org/10.1001/jamapsychiatry.2021.1862	0.953	-0.5409	7	392	563	1.7383	15	2021	1.7383	15
24	raymond digiuseppe (1999)	"<table><tr><td>Authors:</td><td>raymond digiuseppe</td></tr><tr><td>Title:</td><td>end piece: reflections on the treatment of anger</td></tr><tr><td>Source:</td><td>journal of clinical psychology, 55(3), 365-379</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/(sici)1097-4679(199903)55:3<365::aid-jclp8>3.0.co;2-3"	-0.6391	0.1129	1	20	25	0.7118	45	1999	0.7118	45
25	thomas d. borkovec (1999a)	"<table><tr><td>Authors:</td><td>thomas d. borkovec; jeanne miranda</td></tr><tr><td>Title:</td><td>between-group psychotherapy outcome research and basic science</td></tr><tr><td>Source:</td><td>journal of clinical psychology, 55(2), 147-158</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/(sici)1097-4679(199902)55:2<147::aid-jclp2>3.0.co;2-v"	-0.659	-0.0365	1	134	146	0.6327	40	1999	0.6327	40
26	irvin d. yalom (1978)	"<table><tr><td>Authors:</td><td>irvin d. yalom</td></tr><tr><td>Title:</td><td>alcoholics in interactional group therapy</td></tr><tr><td>Source:</td><td>archives of general psychiatry, 35(4), 419-419</td></tr><tr><td>Year:</td><td>1978</td></tr></table>"	https://doi.org/https://doi.org/10.1001/archpsyc.1978.01770280029003	-0.9539	0.2381	1	8	8	1.2439	29	1978	1.2439	29
27	stephen i. abramowitz (1974)	"<table><tr><td>Authors:</td><td>stephen i. abramowitz</td></tr><tr><td>Title:</td><td>psychological-mindedness and benefit from insight-oriented group therapy</td></tr><tr><td>Source:</td><td>archives of general psychiatry, 30(5), 610-610</td></tr><tr><td>Year:</td><td>1974</td></tr></table>"	https://doi.org/https://doi.org/10.1001/archpsyc.1974.01760110036003	-0.638	0.1351	1	54	55	0.6226	24	1974	0.6226	24
28	paul kwon (2000)	"<table><tr><td>Authors:</td><td>paul kwon; katherine e. lemon</td></tr><tr><td>Title:</td><td>attributional style and defense mechanisms: a synthesis of cognitive and psychodynamic factors in depression</td></tr><tr><td>Source:</td><td>journal of clinical psychology, 56(6), 723-735</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/(sici)1097-4679(200006)56:6<723::aid-jclp3>3.0.co;2-3"	-0.4042	0.0503	1	522	603	0.2144	32	2000	0.2144	32
30	robin f. apple (1999)	"<table><tr><td>Authors:</td><td>robin f. apple</td></tr><tr><td>Title:</td><td>interpersonal therapy for bulimia nervosa</td></tr><tr><td>Source:</td><td>journal of clinical psychology, 55(6), 715-725</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/(sici)1097-4679(199906)55:6<715::aid-jclp5>3.0.co;2-b"	-0.6787	0.0966	1	65	91	0.3954	25	1999	0.3954	25
31	wolfgang linden (1981)	"<table><tr><td>Authors:</td><td>wolfgang linden</td></tr><tr><td>Title:</td><td>exposure treatments for focal phobias</td></tr><tr><td>Source:</td><td>archives of general psychiatry, 38(7), 769-769</td></tr><tr><td>Year:</td><td>1981</td></tr></table>"	https://doi.org/https://doi.org/10.1001/archpsyc.1981.01780320049005	-0.4258	0.6326	1	179	286	0.3616	18	1981	0.3616	18
32	merton s. krause (1999a)	"<table><tr><td>Authors:</td><td>merton s. krause; kenneth i. howard</td></tr><tr><td>Title:</td><td>“between-group psychotherapy outcome research and basic science” revisited</td></tr><tr><td>Source:</td><td>journal of clinical psychology, 55(2), 159-169</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/(sici)1097-4679(199902)55:2<159::aid-jclp3>3.0.co;2-n"	-0.7328	0.0948	1	19	19	0.3163	20	1999	0.3163	20
33	mary v. seeman (1974)	"<table><tr><td>Authors:</td><td>mary v. seeman</td></tr><tr><td>Title:</td><td>patients who abandon psychotherapy</td></tr><tr><td>Source:</td><td>archives of general psychiatry, 30(4), 486-486</td></tr><tr><td>Year:</td><td>1974</td></tr></table>"	https://doi.org/https://doi.org/10.1001/archpsyc.1974.01760100054009	-0.8219	0.2445	1	11	11	0.3113	12	1974	0.3113	12
34	stefan g. hofmann (2016)	"<table><tr><td>Authors:</td><td>stefan g. hofmann</td></tr><tr><td>Title:</td><td>schrödinger’s cat and<scp>d</scp>-cycloserine to augment exposure therapy—both are alive and dead</td></tr><tr><td>Source:</td><td>jama psychiatry, 73(8), 771-771</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/https://doi.org/10.1001/jamapsychiatry.2016.1132	2.5902	0.4073	3	182	415	0.1249	6	2016	0.1249	6
35	sandra c. paivio (1999)	"<table><tr><td>Authors:</td><td>sandra c. paivio</td></tr><tr><td>Title:</td><td>experiential conceptualization and treatment of anger</td></tr><tr><td>Source:</td><td>journal of clinical psychology, 55(3), 311-324</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/(sici)1097-4679(199903)55:3<311::aid-jclp4>3.0.co;2-y"	-0.8751	-0.332	1	7	8	0.2689	17	1999	0.2689	17
36	diane l. spangler (1999)	"<table><tr><td>Authors:</td><td>diane l. spangler</td></tr><tr><td>Title:</td><td>cognitive-behavioral therapy for bulimia nervosa: an illustration</td></tr><tr><td>Source:</td><td>journal of clinical psychology, 55(6), 699-713</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/(sici)1097-4679(199906)55:6<699::aid-jclp4>3.0.co;2-o"	-0.5218	0.073	1	114	137	0.2689	17	1999	0.2689	17
38	alexander c. morgan (1998)	"<table><tr><td>Authors:</td><td>alexander c. morgan; nadia bruschweiler‐stern; alexandra m. harrison; karlen lyons‐ruth; jeremy p. nahum; louis w. sander; daniel n. stern; edward z. tronick</td></tr><tr><td>Title:</td><td>moving along to things left undone</td></tr><tr><td>Source:</td><td>infant mental health journal, 19(3), 324-332</td></tr><tr><td>Year:</td><td>1998</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/(sici)1097-0355(199823)19:3<324::aid-imhj9>3.0.co;2-l"	-1.3436	0.0463	1	122	161	0.2007	16	1998	0.2007	16
39	paul a. dewald (1978)	"<table><tr><td>Authors:</td><td>paul a. dewald</td></tr><tr><td>Title:</td><td>the process of change in psychoanalytic psychotherapy</td></tr><tr><td>Source:</td><td>archives of general psychiatry, 35(5), 535-535</td></tr><tr><td>Year:</td><td>1978</td></tr></table>"	https://doi.org/https://doi.org/10.1001/archpsyc.1978.01770290017001	-0.8605	0.0802	1	7	7	0.386	9	1978	0.386	9
40	lars‐gunnar lundh (1998)	"<table><tr><td>Authors:</td><td>lars‐gunnar lundh</td></tr><tr><td>Title:</td><td>normal suggestion. an analysis of the phenomenon and its role in psychotherapy</td></tr><tr><td>Source:</td><td>clinical psychology & psychotherapy/clinical psychology and psychotherapy, 5(1), 24-38</td></tr><tr><td>Year:</td><td>1998</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/(sici)1099-0879(199803)5:1<24::aid-cpp143>3.0.co;2-u"	-0.9782	0.1598	1	122	131	0.1505	12	1998	0.1505	12
41	howard steiger (1999)	"<table><tr><td>Authors:</td><td>howard steiger; mimi israël</td></tr><tr><td>Title:</td><td>a psychodynamically informed, integrated psychotherapy for anorexia nervosa</td></tr><tr><td>Source:</td><td>journal of clinical psychology, 55(6), 741-753</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/(sici)1097-4679(199906)55:6<741::aid-jclp7>3.0.co;2-0"	-0.5547	0.1462	1	46	52	0.1582	10	1999	0.1582	10
42	brad donohue (1999)	"<table><tr><td>Authors:</td><td>brad donohue; vincent b. van hasselt</td></tr><tr><td>Title:</td><td>development and description of an empirically based ecobehavioral treatment program for child maltreatment</td></tr><tr><td>Source:</td><td>behavioral interventions, 14(2), 55-82</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/(sici)1099-078x(199904/06)14:2<55::aid-bin31>3.0.co;2-#"	-0.32	0.3156	1	231	243	0.1582	10	1999	0.1582	10
44	michelle g. newman (1999a)	"<table><tr><td>Authors:</td><td>michelle g. newman; thomas d. borkovec; debra a. hope; michael j. kozak; richard j. mcnally; c. barr taylor</td></tr><tr><td>Title:</td><td>future directions in the treatment of anxiety disorders: an examination of theory, basic science, public policy, psychotherapy research, clinical training, and practice</td></tr><tr><td>Source:</td><td>journal of clinical psychology, 55(11), 1325-1345</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/(sici)1097-4679(199911)55:11<1325::aid-jclp2>3.0.co;2-w"	1.2238	0.5503	3	45	51	0.0791	5	1999	0.0791	5
45	louis g. castonguay (1999)	"<table><tr><td>Authors:</td><td>louis g. castonguay; bruce a. arnow; sidney j. blatt; enrico e. jones; paul a. pilkonis; zindel v. segal</td></tr><tr><td>Title:</td><td>psychotherapy for depression: current and future directions in research, theory, practice and public policy</td></tr><tr><td>Source:</td><td>journal of clinical psychology, 55(11), 1347-1370</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/(sici)1097-4679(199911)55:11<1347::aid-jclp3>3.0.co;2-l"	-0.5988	0.0521	1	232	253	0.0633	4	1999	0.0633	4
46	michelle g. newman (1999b)	"<table><tr><td>Authors:</td><td>michelle g. newman; thomas d. borkovec; debra a. hope; michael j. kozak; richard j. mcnally; c. barr taylor</td></tr><tr><td>Title:</td><td>future directions in the treatment of anxiety disorders: an examination of theory, basic science, public policy, psychotherapy research, clinical training, and practice</td></tr><tr><td>Source:</td><td>journal of clinical psychology, 55(11), 1325-1345</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/(sici)1097-4679(199911)55:11<1325::aid-jclp2>3.3.co;2-n"	0.9458	0.4819	3	59	65	0.0158	1	1999	0.0158	1
47	eric c. strain (1999)	"<table><tr><td>Authors:</td><td>eric c. strain</td></tr><tr><td>Title:</td><td>psychosocial treatments for cocaine dependence: rethinking lessons learned</td></tr><tr><td>Source:</td><td>archives of general psychiatry, 56(6), 503-504</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"	https://doi.org/https://doi.org/10.1001/archpsyc.56.6.503	-0.7031	0.2804	1	17	23	0	0	1999	0	0
50	susan folkman (2000)	"<table><tr><td>Authors:</td><td>susan folkman; steven greer</td></tr><tr><td>Title:</td><td>promoting psychological well-being in the face of serious illness: when theory, research and practice inform each other</td></tr><tr><td>Source:</td><td>psycho-oncology, 9(1), 11-19</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/(sici)1099-1611(200001/02)9:1<11::aid-pon424>3.0.co;2-z"	-0.4461	0.1161	1	168	190	3.2426	484	2000	3.2426	484
51	k. eppley (1989)	"<table><tr><td>Authors:</td><td>k. eppley; allan i. abrams; jonathan shear</td></tr><tr><td>Title:</td><td>differential effects of relaxation techniques on trait anxiety: a meta-analysis</td></tr><tr><td>Source:</td><td>journal of clinical psychology, 45(6), 957-974</td></tr><tr><td>Year:</td><td>1989</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/1097-4679(198911)45:6<957::aid-jclp2270450622>3.0.co;2-q"	-0.6287	0.3713	1	34	34	4.8537	298	1989	4.8537	298
52	john t. blackledge (2001a)	"<table><tr><td>Authors:</td><td>john t. blackledge; steven c. hayes</td></tr><tr><td>Title:</td><td>emotion regulation in acceptance and commitment therapy</td></tr><tr><td>Source:</td><td>journal of clinical psychology, 57(2), 243-255</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/1097-4679(200102)57:2<243::aid-jclp9>3.0.co;2-x"	-0.5498	-0.3831	2	316	383	5.2301	238	2001	5.2301	238
53	craig a. white (2000)	"<table><tr><td>Authors:</td><td>craig a. white</td></tr><tr><td>Title:</td><td>body image dimensions and cancer: a heuristic cognitive behavioural model</td></tr><tr><td>Source:</td><td>psycho-oncology, 9(3), 183-192</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/1099-1611(200005/06)9:3<183::aid-pon446>3.0.co;2-l"	-0.2765	-0.0111	1	44	48	1.5208	227	2000	1.5208	227
54	janet treasure (1997)	"<table><tr><td>Authors:</td><td>janet treasure; anne ward</td></tr><tr><td>Title:</td><td>a practical guide to the use of motivational interviewing in anorexia nervosa</td></tr><tr><td>Source:</td><td>european eating disorders review, 5(2), 102-114</td></tr><tr><td>Year:</td><td>1997</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/(sici)1099-0968(199706)5:2<102::aid-erv201>3.0.co;2-6"	-0.8648	0.0175	1	83	107	0.7421	134	1997	0.7421	134
55	jane a dennis (2012)	"<table><tr><td>Authors:</td><td>jane a dennis; omer khan; michael ferriter; nick huband; melanie j powney; conor duggan</td></tr><tr><td>Title:</td><td>psychological interventions for adults who have sexually offended or are at risk of offending</td></tr><tr><td>Source:</td><td>cochrane library</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/https://doi.org/10.1002/14651858.cd007507.pub2	-0.6387	0.3563	1	324	423	1.2945	85	2012	1.2945	85
56	michel hersen (1975)	"<table><tr><td>Authors:</td><td>michel hersen; samuel m. turner; barry a. edelstein; susan pinkston</td></tr><tr><td>Title:</td><td>effects of phenothiazines and social skills training in a withdrawn schizophrenic</td></tr><tr><td>Source:</td><td>journal of clinical psychology, 31(4), 588-594</td></tr><tr><td>Year:</td><td>1975</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/1097-4679(197510)31:4<588::aid-jclp2270310402>3.0.co;2-6"	-0.8455	0.6957	1	15	21	1.6125	51	1975	1.6125	51
57	keith s. dobson (2000)	"<table><tr><td>Authors:</td><td>keith s. dobson; nasreen khatri</td></tr><tr><td>Title:</td><td>cognitive therapy: looking backward, looking forward</td></tr><tr><td>Source:</td><td>journal of clinical psychology, 56(7), 907-923</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/1097-4679(200007)56:7<907::aid-jclp9>3.0.co;2-i"	-0.5597	0.3604	1	229	268	0.4288	64	2000	0.4288	64
58	john byng‐hall (1990)	"<table><tr><td>Authors:</td><td>john byng‐hall</td></tr><tr><td>Title:</td><td>attachment theory and family therapy: a clinical view</td></tr><tr><td>Source:</td><td>infant mental health journal, 11(3), 228-236</td></tr><tr><td>Year:</td><td>1990</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/1097-0355(199023)11:3<228::aid-imhj2280110305>3.0.co;2-y"	-1.1671	-0.0491	1	50	53	0.7521	50	1990	0.7521	50
59	ana miranda (2000)	"<table><tr><td>Authors:</td><td>ana miranda; mar�a jes�s presentaci�n</td></tr><tr><td>Title:</td><td>efficacy of cognitive-behavioral therapy in the treatment of children with adhd, with and without aggressiveness</td></tr><tr><td>Source:</td><td>psychology in the schools, 37(2), 169-182</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/(sici)1520-6807(200003)37:2<169::aid-pits8>3.0.co;2-8"	-0.6669	0.4566	1	152	165	0.3752	56	2000	0.3752	56
60	martin haupt (2000)	"<table><tr><td>Authors:</td><td>martin haupt; andré karger; m. j�nner</td></tr><tr><td>Title:</td><td>improvement of agitation and anxiety in demented patients after psychoeducative group intervention with their caregivers</td></tr><tr><td>Source:</td><td>international journal of geriatric psychiatry, 15(12), 1125-1129</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/1099-1166(200012)15:12<1125::aid-gps257>3.0.co;2-f"	-1.0086	-0.0898	1	2	3	0.3551	53	2000	0.3551	53
61	andrew gumley (1999)	"<table><tr><td>Authors:</td><td>andrew gumley; craig a. white; kevin power</td></tr><tr><td>Title:</td><td>an interacting cognitive subsystems model of relapse and the course of psychosis</td></tr><tr><td>Source:</td><td>clinical psychology & psychotherapy/clinical psychology and psychotherapy, 6(4), 261-278</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/(sici)1099-0879(199910)6:4<261::aid-cpp211>3.0.co;2-c"	-0.2406	-0.0395	1	716	807	0.8067	51	1999	0.8067	51
62	jeffrey d. edelson (1989)	"<table><tr><td>Authors:</td><td>jeffrey d. edelson; jody fitzpatrick</td></tr><tr><td>Title:</td><td>a comparison of cognitive-behavioral and hypnotic treatments of chronic pain</td></tr><tr><td>Source:</td><td>journal of clinical psychology, 45(2), 316-323</td></tr><tr><td>Year:</td><td>1989</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/1097-4679(198903)45:2<316::aid-jclp2270450221>3.0.co;2-5"	-0.5846	0.357	1	14	25	0.6189	38	1989	0.6189	38
