id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. norm. citations>	score<Avg. pub. year>	score<Avg. citations>
64	cognitive behavioral therapy	-0.3486	-0.3604	2	385	12151	795	1.0824	2013.7711	62.4629
65	cognitive behavioral treatment	-0.5464	-0.3076	2	360	2520	168	1.0358	2007.0655	77.1131
66	cognitive behaviour therapy	-0.2329	-0.6741	2	321	1494	101	1.2383	2010.5743	86.1683
67	cognitive behavioural therapy	-0.2771	-0.5756	2	361	3342	213	0.8047	2014.6009	44.4085
68	cognitive bias modification	-1.0976	-0.1358	2	243	1092	77	1.3663	2016.7403	57.8312
69	cognitive processing therapy	-0.8876	-0.0448	4	282	1860	118	1.2137	2016.7712	53.7288
70	cognitive reappraisal	-0.6517	0.1591	2	238	773	53	1.7377	2016.4528	87.1321
71	cognitive restructuring	-0.5038	-0.051	2	332	1762	136	0.8761	2006.4559	42.3456
72	commitment therapy	0.1078	-0.9266	2	351	3361	220	1.5539	2015.9909	101.4
73	communication	0.7558	-0.364	1	318	1695	104	0.8796	2009.0673	53.4231
74	community	0.4104	-0.4173	1	354	2428	132	0.9562	2011.9318	64.8864
75	comorbidity	-0.3134	-0.1304	2	357	1941	90	1.1702	2012.8444	67.5667
76	compassion	0.2589	-0.6393	1	317	1586	104	1.3126	2017.7885	67.2981
77	completion	-0.5746	-0.3841	2	340	2106	118	1.0174	2012.2458	58.9915
78	complexity	0.9369	0.3113	1	294	1086	73	0.5982	2011.4795	25.3699
79	concept	1.048	0.0673	1	367	5876	357	1.0893	2008.2129	64.3137
80	conceptualization	0.7133	0.2205	1	360	3047	184	0.9752	2010.6576	51.7337
81	conditioning	-0.2088	1.1077	3	329	2865	181	0.9964	2006.6961	45.4365
82	conflict	0.7542	-0.2409	1	361	2524	133	0.8093	2009.0526	46.8947
83	connection	0.8396	0.1616	1	336	1616	91	0.9465	2013.8791	40.5165
84	consideration	0.2841	0.1418	1	366	2888	181	1.1596	2010.3039	69.5138
85	consolidation	-0.4233	1.2982	3	263	1643	94	1.185	2015.4787	58.5426
86	construct	0.5395	-0.347	1	345	1834	119	0.981	2013.0252	53.1261
87	context	0.3142	0.43	1	384	11601	731	0.9684	2012.751	47.7647
88	control condition	-0.9406	-0.2671	2	356	3149	225	1.2972	2012.72	74.7022
89	control group	-0.6861	-0.4038	2	376	5199	374	0.9278	2010.238	58.9679
90	controlled trial	-0.3595	-0.6555	2	339	1972	98	1.9419	2011.2653	131.602
91	core	0.4784	0.5657	1	301	1045	58	1.5447	2011.7241	97.5
92	counseling	0.4828	-0.5701	1	325	1572	94	0.9408	2005.5745	63.3085
93	couple	1.0448	-0.2388	1	275	1092	81	0.3395	2007.1358	25.1358
94	cpt	-0.986	-0.0382	4	248	1333	88	1.1694	2017.6023	44.8295
95	criterium	-0.3575	-0.3425	2	381	5288	318	1.4481	2010.3082	97.1038
96	cue	-0.3502	0.8312	3	365	3946	229	1.3739	2011.2445	73.1747
97	d cycloserine	-0.7827	1.097	3	251	1719	92	1.1816	2012.4783	89.1413
98	dbt	0.7646	-0.6071	1	253	938	52	0.9413	2013.8462	56.75
99	dcs	-0.887	1.0699	3	208	1074	56	1.1867	2012.6964	98.3929
100	decade	0.3725	0.3613	1	369	3021	173	1.7737	2012.2659	83.289
101	decision	0.3468	0.2766	1	343	1874	101	1.2062	2011.7525	57.0297
102	decrease	-0.606	-0.0937	2	374	3662	248	1.0142	2011.5	56.371
103	depression symptom	-0.8397	-0.4424	2	284	1010	59	1.0889	2016.2542	53.8136
104	depressive symptom	-0.5004	-0.5818	2	359	2764	165	1.1358	2014.3455	68.0121
105	detail	0.3103	-0.0781	1	357	1876	97	0.9739	2009.2062	70.8557
106	development	0.4716	0.138	1	385	15613	1019	1.1542	2010.1286	65.6693
107	dimension	0.5792	-0.2749	1	345	2218	138	1.1408	2008.2174	51.4348
108	dissemination	0.0786	-0.3122	1	329	1959	99	1.6941	2012.8384	110.4949
109	domain	0.3513	-0.0281	1	369	3174	181	1.3927	2012.2486	83.0994
110	double blind	-1.0235	0.5659	3	247	1004	54	2.0144	2014.1111	123.6111
111	dropout	-0.4581	-0.3361	2	329	1699	88	0.9972	2012.6591	45.2159
112	drug	-0.024	0.6762	3	344	2394	123	1.17	2005.8211	70.1545
113	dsm	0.1629	-0.4388	1	326	1664	63	2.2468	2001.9206	120.1746
114	duration	-0.403	0.0363	2	362	2229	127	1.0713	2009.8425	55.3307
115	effect	-0.4521	0.2001	2	385	26574	1990	1.1665	2011.2734	65.3236
116	effect size	-0.5544	-0.5988	2	360	2765	172	1.841	2014.3663	131.6744
117	efficacious treatment	-0.4684	-0.2505	2	276	878	55	1.9183	2012.0909	134.4364
118	efficiency	-0.3874	-0.1349	2	321	1267	66	1.249	2013.0152	53.8939
119	effort	0.3542	0.0774	1	377	4597	242	1.1125	2011.2231	62.5413
120	emdr	-0.1094	0.3666	4	265	902	58	1.1447	2011.7759	60.8966
121	empathy	0.6522	-0.4613	1	320	1378	72	1.2447	2011.5694	82
122	emphasis	1.0025	0.0886	1	332	2522	174	1.1229	2006.9943	67.3851
123	empirical evidence	0.4658	0.1682	1	300	1161	88	1.1822	2009.6364	69.9432
124	empirical support	0.6846	-0.3127	1	306	1187	88	1.0021	2011.25	61.3295
125	enhancement	-0.2171	0.5483	3	349	2010	107	1.3755	2011.6916	125.0187
126	environment	0.6016	0.4564	1	372	3740	199	1.0699	2010.7437	72.3819
127	etiology	0.2959	0.7474	1	279	1211	92	1.6421	2010.1957	109.7935
128	evidence base	0.6713	-0.4259	1	293	1245	83	0.9059	2014.4699	54.8675
129	expectancy	-0.4553	0.6357	3	347	2195	155	1.0031	2009.9935	51.3935
130	experience	0.6631	0.0275	1	383	12955	856	0.9486	2012.1472	53.5607
131	experiment	-0.3212	0.7669	3	359	3038	225	1.1943	2009.3156	77.0711
132	experimental group	-0.3208	-0.7058	2	274	1094	77	0.4805	2010.4416	30.9481
133	exploration	0.9647	-0.0321	1	325	1700	103	0.3951	2012.1359	15.6699
134	exposure	-0.5821	0.5733	3	385	13024	851	1.1299	2011.3937	65.7908
135	exposure therapy	-0.7302	0.7588	3	373	5806	345	1.2758	2014.6058	71.342
136	exposure treatment	-0.7062	0.767	3	259	1120	80	1.0031	2004.4875	55.075
137	expression	0.1198	0.7562	3	367	3355	187	1.0668	2011.2086	64.631
138	extinction	-0.4836	1.2526	3	341	6034	382	1.3346	2012.9503	70.1571
139	extinction learning	-0.6093	1.2028	3	285	2549	139	1.0738	2016.295	46.2374
140	extinction training	-0.5635	1.4442	3	185	1112	68	1.0775	2015.8088	60.2794
141	eye movement desensitization	-0.1416	0.3616	4	269	983	69	1.049	2012.5507	56.7826
142	fact	0.3795	0.159	1	354	2158	87	0.7084	2009.1034	41.0575
143	family	0.8605	-0.3326	1	344	2798	192	0.705	2007.0781	44.1719
144	family therapy	1.0701	-0.2935	1	271	1199	72	1.0439	2003.6111	61.9861
145	fear	-0.372	0.8347	3	383	11707	741	1.1445	2010.9487	65.0796
146	fear conditioning	-0.3607	1.3613	3	283	2686	173	1.2791	2012.7457	77.4277
147	fear extinction	-0.4912	1.1989	3	307	3225	170	1.5704	2015.2647	72.5941
148	fear memory	-0.3377	1.4594	3	215	1468	87	1.3001	2015.1264	53.023
149	fear response	-0.4376	1.2804	3	262	1525	85	1.3895	2013.5176	99.1529
150	feasibility	-0.5232	-0.6574	2	339	2331	126	1.2246	2015.7143	63.8095
151	feeling	0.5672	-0.2454	1	371	4103	225	0.8075	2009.24	43.7956
152	female	-0.6318	-0.4842	2	337	1945	138	0.9059	2012.3696	35.8116
153	field	0.8092	0.3031	1	373	5876	341	1.1692	2012.5015	59.8504
154	focus	0.5534	-0.0743	1	383	7335	456	1.1354	2011.1535	66.386
155	foundation	0.7521	0.0124	1	354	2376	128	0.7485	2011.9453	33.7969
156	framework	0.9136	0.2736	1	376	5840	424	1.272	2010.4292	77.3821
157	friend	0.4444	-0.1075	1	334	1843	72	0.5215	2004.9722	25.5139
158	future	0.2784	-0.1017	1	356	2123	115	1.3301	2011.4435	63.0087
159	gad	-0.6631	-0.7324	2	312	1779	115	1.2417	2014.3304	80.0348
160	gain	-0.3946	-0.1537	2	379	3612	228	1.1388	2009.5219	74.8553
161	gap	0.3049	0.1783	1	348	2177	149	1.308	2014.8389	65.8926
162	gender	-0.2333	-0.2918	2	297	1014	58	0.7965	2013.0345	52.7759
163	generalization	0.0101	0.9041	3	309	1798	124	0.9502	2005.871	37.6774
164	generalized anxiety disorder	-0.5418	-0.7792	2	310	1499	94	1.2486	2013.5851	84.3936
165	greater improvement	-0.9766	-0.2187	2	318	1714	107	1.348	2008.729	85.3458
166	greater reduction	-1.0643	-0.2683	2	314	1833	108	1.2852	2013.4815	76.4074
167	group	-0.2977	-0.1175	2	385	18507	1276	0.9039	2009.8644	53.5227
168	group difference	-1.0115	0.036	2	308	1412	82	0.9852	2014.4146	52.3902
169	group therapy	-0.0896	-0.5532	2	354	2599	175	0.7639	2008.0457	50.5943
170	group treatment	-0.2083	-0.6948	2	294	1121	87	0.8529	2003.2759	59.6782
171	habituation	-0.4832	0.7915	3	288	1235	73	1.8673	2009.9589	135.589
172	hand	0.4236	0.405	1	318	1286	70	0.8438	2007.4714	33.1857
173	health	0.2262	-0.4943	1	367	3307	164	1.6835	2013.4817	92.7744
174	higher level	-0.315	-0.3153	2	319	1451	89	0.8767	2014.4045	45.7528
175	hope	0.649	-0.0677	1	281	902	64	1.1829	2012.4688	80.4688
176	human	-0.1045	1.2305	3	304	2391	131	1.5053	2014.2061	76.229
177	idea	1.0024	0.2171	1	353	3216	163	0.8885	2010.1902	53.5644
178	identification	0.4094	0.4681	1	339	1740	105	0.7874	2010.3619	48.4286
179	impairment	-0.4854	0.1083	2	365	2848	177	1.122	2013.4068	56.2316
180	improvement	-0.5159	-0.3716	2	384	12384	865	1.0744	2011.0197	62.7329
181	insight	0.6479	0.449	1	375	3750	255	0.969	2012.651	46.651
182	insomnia	-0.6857	-0.7591	2	290	1713	119	1.4054	2012.5966	74.3109
183	integration	0.949	0.0478	1	368	4172	282	0.8699	2009.4043	52.5142
184	internet	-0.6518	-0.6528	2	334	2160	119	1.5117	2016.2521	67.7395
185	kind	0.7538	-0.1637	1	324	1415	74	0.5534	2011.3514	36.2162
186	knowledge	0.649	0.2447	1	380	5742	340	0.8409	2011.8735	46.5265
187	laboratory	0.0009	0.6923	3	314	1455	86	1.3181	2010.7209	69.8256
188	learning	-0.1056	0.9476	3	378	6726	425	1.228	2013.7694	59.3624
189	light	0.4324	0.5409	1	323	1520	110	1.0086	2010.4364	55.3818
190	long term	-0.3301	-0.2342	2	274	869	59	0.7221	2011.5085	37.6102
191	lower level	-0.7531	0.0641	2	294	1021	57	0.8684	2014.4211	45.9123
192	major depressive disorder	-0.3586	-0.6154	2	326	1525	88	1.389	2015.2386	71.6591
193	male	-0.1455	-0.363	2	299	1075	84	0.7202	2005.1667	32.8571
194	mbct	0.0037	-0.871	2	246	956	65	1.209	2015.3846	64.8
195	mean age	-0.7781	-0.6523	2	248	784	54	1.1659	2016.037	53.0185
196	meaning	0.9365	0.2039	1	353	2436	139	1.0164	2008.5899	80.295
197	measure	-0.595	-0.223	2	385	13137	906	1.0495	2009.9238	57.2053
198	medicine	0.3795	-0.2596	1	362	3171	117	1.4632	2007.1795	89.7607
199	meditation	0.1773	-0.7427	2	315	1651	110	1.7372	2011.0455	128.6
200	medium	-0.597	-0.4572	2	301	1119	64	1.9332	2013.4531	155.0781
201	member	0.4015	-0.4541	1	334	2067	134	0.7984	2007.806	43.9627
202	memory	-0.1008	0.8891	3	379	7915	490	1.2746	2013.551	74.4918
203	mental health	0.2397	-0.3113	1	378	3645	174	1.4668	2013.0805	77.977
204	mentalization	1.2625	-0.2733	1	222	971	67	0.9177	2016.4776	47
205	mind	0.8133	0.091	1	362	3185	145	0.9872	2011.3931	64.7655
206	mindfulness	0.0241	-0.716	2	374	6220	444	1.4062	2015.7703	81.7185
207	moderator	-0.3458	0.0363	2	343	1760	112	1.5153	2015.5	66.2768
208	motivation	0.4924	-0.3828	1	367	3693	252	0.9225	2010.6548	42.2421
209	motivational interviewing	0.2659	-0.7139	1	263	1118	94	0.8827	2012.1277	67
210	need	0.3523	-0.219	1	384	8433	572	0.9826	2011.1696	57.9476
211	neurobiology	0.4734	0.7972	1	288	1294	62	1.3311	2011.1129	87.8226
212	neuroscience	0.5273	0.5876	1	362	3247	145	1.6669	2011.8069	94.5931
213	notion	0.772	0.2386	1	326	1569	88	0.6891	2007.5	36.4773
214	novel	-0.0155	0.5168	3	294	1051	53	1.9817	2015.4151	64.566
215	observation	0.4882	0.4556	1	354	1935	118	0.7807	2007.2373	47.8814
216	obsessive compulsive disorder	-0.5411	0.2142	2	369	3457	208	1.2627	2012.4904	81.0481
217	ocd	-0.6968	0.1932	2	339	2719	187	1.0304	2013.2032	61.1337
218	onset	-0.278	-0.2067	2	331	1556	91	1.6881	2011.7143	83.9231
219	opportunity	0.6398	0.4957	1	355	2909	162	1.0043	2012.3148	50.0617
220	outcome measure	-0.7652	-0.4405	2	352	2510	159	1.2967	2011.3019	78.5597
221	outpatient	-0.0657	-0.6258	2	343	2031	111	1.2076	2007.0541	77.5766
222	overview	0.5022	0.1882	1	361	2838	158	1.3558	2011.2152	76.8354
223	panic	-0.2314	0.1637	2	336	2004	88	1.1877	2005.6705	82.8409
224	panic disorder	-0.5623	0.1999	2	364	3735	207	1.3366	2008.7681	92.9324
225	paradigm	-0.1805	0.8163	3	376	5333	332	1.1176	2012.4428	53.497
226	parent	0.3557	-0.5012	1	348	2553	158	0.9086	2009.5823	52.0696
227	participant	-0.6706	-0.0478	2	385	20288	1433	0.9957	2015.2073	55.1082
228	past	0.7182	-0.1484	1	337	1815	69	1.1322	2010.4058	70.058
229	pathway	0.3201	0.5287	1	349	2089	114	1.7733	2014.2807	74.6667
230	persistence	-0.0822	0.5732	3	304	1147	74	1.64	2013.0135	131.4595
231	personality	0.8551	-0.2251	1	320	1855	108	1.5252	2005.5556	86.7963
232	personality disorder	0.6888	-0.3729	1	339	2076	131	0.6415	2010.1069	34.6641
233	perspective	0.8775	0.2329	1	381	8227	536	0.9605	2009.9515	52.5131
234	pharmacotherapy	-0.1578	0.0439	2	360	2343	115	1.586	2006.913	102.0435
235	phobia	-0.4958	0.6879	3	315	1570	103	1.0496	2003.4175	81.9029
236	pilot	-0.4895	-0.6246	2	319	1340	59	1.6426	2015.8136	90.6949
237	pilot study	-0.4022	-0.5617	2	357	2633	162	1.1135	2012.1358	72.5988
238	place	0.5716	0.3979	1	358	2756	132	0.8528	2009.7576	54.7576
239	placebo	-0.8758	0.5614	3	343	2926	169	1.4875	2008.9763	101.1361
240	positive emotion	0.2929	-0.494	1	241	807	63	1.5936	2016.2063	113.2857
241	post treatment	-1.0563	-0.4088	2	342	3405	226	0.9414	2013.7876	48.9204
242	posttraumatic stress disorder	-0.6311	0.3889	4	375	6389	372	1.5245	2013.9005	91.2903
243	posttreatment	-0.9094	-0.5114	2	360	3925	245	1.2183	2011.1959	76.0327
244	potential mechanism	-0.4804	0.1852	2	261	803	56	1.1353	2015.9464	60.0714
245	practice	0.8159	-0.3219	1	380	11454	742	1.002	2010.314	61.0593
246	practitioner	0.8791	-0.371	1	331	2306	143	0.9416	2012.0979	49.3986
247	pre treatment	-1.0204	-0.3393	2	279	1255	83	0.7147	2014.3373	35.3735
248	predictor	-0.4233	-0.312	2	374	4449	284	0.9823	2013.8451	50.5704
249	preliminary evidence	-0.7043	-0.0548	2	291	1124	83	1.2406	2014.8193	55.5542
250	pretreatment	-0.9919	-0.3954	2	319	1870	120	1.2773	2010.4917	71.9
251	primary outcome	-0.9542	-0.5873	2	309	1779	109	1.479	2017.2202	56.211
252	primary outcome measure	-0.916	-0.4717	2	257	949	53	1.131	2013.9057	65.5283
253	principle	0.8055	0.1534	1	377	6021	392	1.0057	2009.2908	69.5051
254	procedure	-0.1496	0.5808	3	382	6706	495	1.0583	2003.9253	72.5232
255	processing	-0.052	0.4977	3	383	6915	445	1.1333	2012.6921	75.7933
256	progress	0.4393	-0.0086	1	371	3187	181	1.5657	2009.4365	99.0497
257	prolonged exposure	-0.661	0.3835	4	296	1171	57	1.6108	2014.614	67.2807
258	psychiatrist	0.6957	-0.5101	1	331	2267	72	1.6434	1999.7778	98.4583
259	psychiatry	0.2705	0.0362	1	374	4620	157	1.3541	2006.293	74.5096
260	psychoanalysis	1.1953	-0.0668	1	256	1300	67	0.7675	2003.2687	44.7612
261	psychological distress	0.1374	-0.6524	2	289	1005	69	0.8458	2014.0725	46.7246
262	psychological flexibility	0.0375	-0.9697	2	254	1208	78	1.3164	2018.1795	61.5513
263	psychologist	0.7004	-0.3041	1	369	3084	148	0.8963	2008.0405	48.9324
264	psychology	0.8774	-0.0289	1	376	8227	506	1.1178	2008.1087	68.666
265	psychotherapist	1.0504	-0.1737	1	318	1605	91	0.4581	2013.1978	23.8462
266	psychotherapy	0.5049	-0.1432	1	383	15115	1068	0.8189	2008.9682	46.9803
267	psychotherapy research	1.0313	-0.0518	1	285	1431	91	0.7953	2009.6264	48.8901
268	ptsd	-0.6117	0.4338	4	379	7832	476	1.3403	2014.5714	74.0336
269	ptsd symptom	-0.8908	0.2358	4	342	2559	141	1.2599	2015.2624	61.5745
270	question	0.3421	0.1614	1	383	5167	298	1.2012	2011.2852	68.802
271	questionnaire	-0.3296	-0.6433	2	372	4677	302	0.8144	2012.9007	42.4834
272	randomised controlled trial	-0.219	-0.5044	2	318	1395	67	1.2467	2016.1045	58.791
273	randomized clinical trial	-0.5518	-0.2267	2	347	2022	103	1.2694	2013.8058	76.1845
274	randomized controlled trial	-0.6309	-0.5178	2	381	6790	401	1.3921	2015.5586	71.2494
275	randomized trial	-0.3987	-0.7775	2	300	1221	73	1.6512	2013.5342	75.6438
276	rat	-0.3944	1.3657	3	231	1336	74	0.6934	2008.9189	42.8784
277	rate	-0.611	-0.012	2	383	7114	459	1.1747	2010.3007	67.1416
278	rct	-0.4763	-0.6875	2	330	1567	82	1.1814	2015.9756	61.439
279	reappraisal	-0.5209	0.0425	2	232	887	63	2.3323	2015.746	153.7778
280	reason	0.5981	0.0881	1	355	2238	135	0.6456	2008.1259	36.5852
281	recent year	0.3273	0.5527	1	296	1001	59	1.0838	2011.5593	43.678
282	recognition	0.8874	0.0839	1	319	1676	80	0.9339	2008.9	55.9375
283	reconsolidation	-0.1227	1.2954	3	246	1344	82	1.4576	2016.9634	52
284	reduction	-0.7299	0.0621	2	384	10265	729	1.0382	2010.7257	58.2442
285	reference	0.5792	0.2886	1	331	1634	81	0.712	2006.5556	39.8889
286	reflection	1.1431	-0.2419	1	268	1169	74	0.355	2014.3243	19.1622
287	regulation	0.102	0.2297	1	380	5054	348	1.6493	2014.8103	93.6408
288	relapse	-0.2688	0.5556	3	366	2863	191	1.1948	2010.9791	62.7225
289	relaxation	-0.2902	-0.2642	2	348	2105	139	1.0569	2001.6115	62.6978
290	relevance	0.3926	0.5415	1	368	3047	168	1.1515	2012.0833	61.9345
291	resilience	0.4458	0.0835	1	324	1464	86	1.1387	2015.3605	61.4767
292	resistance	0.9279	0.078	1	308	1566	101	0.5867	2008.0099	32.2574
293	resource	0.4381	-0.3933	1	363	3384	168	1.4281	2008.3929	86.9702
294	response	-0.2461	0.4805	3	385	13682	874	1.1753	2010.7654	68.1384
295	response prevention	-0.4309	0.2923	2	296	1237	85	0.713	2009.2118	38.4824
296	retention	-0.5381	0.5343	3	328	1686	104	1.3215	2013.9327	95.2981
297	return	-0.3491	1.1933	3	311	2043	119	1.367	2014.0504	65
298	rumination	-0.346	-0.4708	2	334	1710	113	1.9854	2013.9469	130.4867
299	sad	-0.9041	-0.4105	2	343	3033	192	1.087	2016.1771	51.4792
300	sample	-0.4756	-0.3859	2	384	8673	578	1.0656	2013.8183	60.4965
301	school	0.5612	-0.313	1	358	3198	155	1.0033	2010.129	57.1032
302	science	0.4485	0.2853	1	382	6944	393	1.7202	2011.7481	88.3868
303	score	-0.5673	-0.5492	2	377	6194	380	1.095	2011.4579	62.8974
304	secondary outcome	-0.9429	-0.5358	2	291	1354	69	1.2238	2017.5652	39.2899
305	self esteem	0.4813	-0.5429	1	331	1947	126	1.1151	2006.1746	79.7063
306	self report	-0.8326	-0.0939	2	355	2597	168	1.0461	2008.2381	65.0298
307	self report measure	-0.8265	-0.3786	2	322	1342	80	0.8185	2014.0375	43.9375
308	sense	1.0383	-0.0706	1	344	3199	187	0.9911	2009.7647	77.4813
309	session	-0.4663	-0.1825	2	385	17152	1171	0.9208	2011.9761	50.6422
310	set	0.5475	0.0001	1	369	3030	169	1.3111	2009.7515	74.1006
311	severity	-0.8582	-0.2973	2	369	4895	299	1.0445	2012.7224	58.5318
312	shame	0.4904	-0.4281	1	302	1260	76	0.6328	2012.9737	31.5263
313	sign	0.354	-0.5365	1	327	1597	68	2.0292	2000.5882	122.9412
314	significant change	-0.7831	-0.6951	2	305	1473	96	0.8963	2010.8542	53.3333
315	significant decrease	-0.5575	-0.3371	2	332	1324	69	0.8319	2012.7246	43.2174
316	significant difference	-0.6886	-0.5861	2	353	2670	165	0.8849	2010.2364	52.5818
317	significant effect	-0.752	-0.1268	2	302	1085	60	1.3901	2011.75	58.6
318	significant improvement	-0.7084	-0.6287	2	368	3688	238	1.0847	2008.7521	69.2815
319	significant increase	-0.3598	-0.8193	2	238	787	62	0.9061	2010.1613	70.6935
320	significant reduction	-0.7808	-0.3796	2	361	2790	163	1.0946	2011.865	60.5399
321	similarity	0.4951	-0.2089	1	286	1012	69	1.346	2008.4493	141.1304
322	sleep	-0.8458	-0.3627	2	303	1710	104	1.4648	2014.2308	78.7212
323	social anxiety	-0.8297	-0.2085	2	362	4094	289	0.9486	2014.045	56.6713
324	social anxiety disorder	-0.8716	-0.1309	2	370	5328	335	1.0984	2015.8149	53.0985
325	social anxiety symptom	-1.2217	-0.2806	2	223	941	57	0.7918	2016.8772	38.193
326	social phobia	-0.684	-0.1689	2	326	2277	164	1.3549	2006.0061	132.9695
327	social situation	-0.1988	-0.0007	2	269	955	57	1.2957	2009.3509	106.2632
328	solution	0.561	-0.0251	1	342	2004	113	0.8056	2008.8319	51.531
329	specific phobia	-0.7991	0.4323	2	302	1287	56	1.6208	2012.0536	115.0357
